Q2.1,What kind of feedback would you expect from recommender-tools during code review?,,
Q2.2,What kind of automation do you envision for automating code review practices? ,,
Q2.3,"In regards to Documentation issues, what kind of automation do you envision 
for the fixing and detection of these issues?",,
Q2.4,"In regards to Style issues, what kind of automation do you envision 
for the fixing and detection of these issues?",,
Q2.5,"In regards to Structure issues, what kind of automation do you envision 
for the fixing and detection of these issues?",,
Q2.6,"In your opinion which Topics of code changes and their Detailed Changes could be 
automatically detected and fixed by tools?",,
Q2.7,Briefly describe how you would approach the detection and fixing of the issues described in your last answer.,,
,,,
Question,Comment ID,Occupation,Feedback
Q2.1,feedback_recommender_1,Industrial Developer,"style issues (linting), structural issues (code quality/metrics), architectural violations, clean code principle violations"
Q2.1,feedback_recommender_2,Other Occupation,"""Recommender-tools""? You mean tools that provide recommendation in an automated way? If that's the case, then logic errors, lacking test coverage, unused imports, typos (assuming code style is already automatically checked by another tool)"
Q2.1,feedback_recommender_3,Industrial Developer,"Unnecessary / unused variables/methods
Used of deprecated code"
Q2.1,feedback_recommender_4,Other Occupation,Style
Q2.1,feedback_recommender_5,Senior Researcher,"style, complex code, consistency"
Q2.1,feedback_recommender_6,CS Student,Error corrections and input for better/different coding approaches
Q2.1,feedback_recommender_7,CS Student,"ideas for programming patterns;
showing where similar code was used / where the same thing is happening;"
Q2.1,feedback_recommender_8,Open Source Developer,#NAME?
Q2.1,feedback_recommender_9,Senior Researcher,where to jump to
Q2.1,feedback_recommender_10,Senior Researcher,"Of two type, first i would like to know which changes are/will be required for the code review session. This would be useful to estimate the work required 
 to perform the required changes."
Q2.1,feedback_recommender_11,Industrial Developer,"I would like some ranking of the severity of the issue, which could be set at the beginning of the project. Like that, I could prioritise on the issues."
Q2.1,feedback_recommender_12,Industrial Developer,Specifics about changes needed in the code.
Q2.1,feedback_recommender_13,Other Occupation,Suggestions related to possible code changes aimed to fix the problem
Q2.1,feedback_recommender_14,Senior Researcher,"maybe some clear suggestions of what am I missing in my proposed solution, such as how can I optimize the memory usage or if I am following the code style that should be adopted"
Q2.1,feedback_recommender_15,Industrial Developer,refactoring
Q2.1,feedback_recommender_16,CS Student,"Change suggestions for simple automatable fixes (e.g., alike a pull request)"
Q2.1,feedback_recommender_17,CS Student,"Static analysis suggestions but additionally check comments and documentation is available, function calls and nesting, check complexity.. Give concrete suggestions what should be changed..."
Q2.1,feedback_recommender_18,Senior Researcher,"I do not understand the question. I think what I get right now is the result of the build, i.e., how is the test coverage, are there style warnings, does the code compile, etc. This is all I need."
Q2.1,feedback_recommender_19,Other Occupation,"I would expect simpler checks, like the ones about style especially, or coding conventions, that could be embedded in a recommender and be project dependent"
Q2.1,feedback_recommender_20,Industrial Developer,"To be honest, I don't see how an automatic recommender tool can help me since I see the code review process as a communication platform between teammates. The human element is essential. However, it would be cool to get recommendations regarding the coding standards that are adopted by the team."
Q2.1,feedback_recommender_21,Industrial Developer,"This is not a simple question, I think that, beside tools suggesting how to improve structure/style/documentation it would be great to have tools, anticipating the process of change. Very often during after submitting a patch, I have to wait some ""unproductive"" time before getting a feedback on my code. it would be in general useful to have tool that instantaneously provide me high- and low-level feedback on my code."
Q2.1,feedback_recommender_22,Senior Researcher,I think automation in code review is also difficult to imagine to me. Maybe because I mainly to face to face code review and my team is non so large. Probably in more industrial context tools for collaborative code review and for automating some of its activity is an important requirement.
Q2.1,feedback_recommender_23,Senior Researcher,N.A
Q2.1,feedback_recommender_24,Industrial Developer,"Manual code reviews will still be done. But tool for Code Review are not  thorough enough to catch all the common problems a senior developer detect during a manual review. But from tools, I would expect in the same way feedback encapsulating aspects related to coding or documentation styles, recommendations regarding configuration of tools, and possible, reference to alternative solution to a given problem (e.g., from StackOverflow or other sources)."
Q2.1,feedback_recommender_25,Senior Researcher,code duplication problem
Q2.1,feedback_recommender_26,Senior Researcher,"Dead code analysis, duplication"
