PARTICIPANT,Task,SummaryFor,N. Smells,TIME_h,TIME_m,Programming_exp,Testing_exp, editDist
P1,FlexibleStringExpanderTests ,TimeDurationTests ,1,16,0,7-10 years,7-10 years,35
P1,TimeDurationTests ,TimeDurationTests ,2,14,0,7-10 years,7-10 years,120
P1,FlexibleMapAccessorTest,UtilCacheTests ,0,18,0,7-10 years,7-10 years,24
P1,UtilCacheTests ,UtilCacheTests ,2,17,0,7-10 years,7-10 years,170
P2,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,14,0,7-10 years,7-10 years,230
P2,TimeDurationTests ,FlexibleStringExpanderTests ,2,18,0,7-10 years,7-10 years,145
P2,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,10,0,7-10 years,7-10 years,103
P2,UtilCacheTests ,FlexibleMapAccessorTest,2,12,0,7-10 years,7-10 years,270
P3,FlexibleStringExpanderTests ,TimeDurationTests ,0,30,0,2-5 years,1-2 years,12
P3,TimeDurationTests ,TimeDurationTests ,1,26,30,2-5 years,1-2 years,98
P3,FlexibleMapAccessorTest,UtilCacheTests ,0,20,18,2-5 years,1-2 years,30
P3,UtilCacheTests ,UtilCacheTests ,1,20,0,2-5 years,1-2 years,160
P4,FlexibleStringExpanderTests ,TimeDurationTests ,0,30,0,2-5 years,<1 year,17
P4,TimeDurationTests ,TimeDurationTests ,1,26,0,2-5 years,<1 year,101
P4,FlexibleMapAccessorTest,UtilCacheTests ,1,30,0,2-5 years,<1 year,45
P4,UtilCacheTests ,UtilCacheTests ,1,15,0,2-5 years,<1 year,166
P5,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,17,0,2-5 years,2-5 years,203
P5,TimeDurationTests ,FlexibleStringExpanderTests ,2,20,0,2-5 years,2-5 years,105
P5,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,15,0,2-5 years,2-5 years,85
P5,UtilCacheTests ,FlexibleMapAccessorTest,1,17,0,2-5 years,2-5 years,45
P6,FlexibleStringExpanderTests ,TimeDurationTests ,1,28,45,1-2 years,1-2 years,89
P6,TimeDurationTests ,TimeDurationTests ,2,25,0,1-2 years,1-2 years,121
P6,FlexibleMapAccessorTest,UtilCacheTests ,1,30,0,1-2 years,1-2 years,39
P6,UtilCacheTests ,UtilCacheTests ,1,18,24,1-2 years,1-2 years,34
P7,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,30,0,7-10 years,5-7 years,153
P7,TimeDurationTests ,FlexibleStringExpanderTests ,1,30,0,7-10 years,5-7 years,65
P7,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,20,0,7-10 years,5-7 years,85
P7,UtilCacheTests ,FlexibleMapAccessorTest,0,28,0,7-10 years,5-7 years,0
P8,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,19,0,>10 years,>10 years,177
P8,TimeDurationTests ,FlexibleStringExpanderTests ,1,23,0,>10 years,>10 years,106
P8,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,23,0,>10 years,>10 years,78
P8,UtilCacheTests ,FlexibleMapAccessorTest,1,27,0,>10 years,>10 years,47
P9,FlexibleStringExpanderTests ,TimeDurationTests ,1,26,0,2-5 years,2-5 years,37
P9,TimeDurationTests ,TimeDurationTests ,2,22,0,2-5 years,2-5 years,122
P9,FlexibleMapAccessorTest,UtilCacheTests ,0,30,0,2-5 years,2-5 years,26
P9,UtilCacheTests ,UtilCacheTests ,2,28,0,2-5 years,2-5 years,156
P10,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,25,0,2-5 years,1-2 years,125
P10,TimeDurationTests ,FlexibleStringExpanderTests ,1,29,0,2-5 years,1-2 years,104
P10,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,20,0,2-5 years,1-2 years,77
P10,UtilCacheTests ,FlexibleMapAccessorTest,1,24,0,2-5 years,1-2 years,49
P11,FlexibleStringExpanderTests ,TimeDurationTests ,0,26,0,2-5 years,2-5 years,18
P11,TimeDurationTests ,TimeDurationTests ,1,22,0,2-5 years,2-5 years,95
P11,FlexibleMapAccessorTest,UtilCacheTests ,0,24,0,2-5 years,2-5 years,37
P11,UtilCacheTests ,UtilCacheTests ,1,25,0,2-5 years,2-5 years,152
P12,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,21,0,1-2 years,1-2 years,188
P12,TimeDurationTests ,FlexibleStringExpanderTests ,2,24,0,1-2 years,1-2 years,101
P12,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,19,0,1-2 years,1-2 years,83
P12,UtilCacheTests ,FlexibleMapAccessorTest,1,18,0,1-2 years,1-2 years,42
P13,FlexibleStringExpanderTests ,TimeDurationTests ,1,28,0,7-10 years,7-10 years,45
P13,TimeDurationTests ,TimeDurationTests ,2,27,0,7-10 years,7-10 years,105
P13,FlexibleMapAccessorTest,UtilCacheTests ,0,30,0,7-10 years,7-10 years,23
P13,UtilCacheTests ,UtilCacheTests ,2,29,0,7-10 years,7-10 years,167
P14,FlexibleStringExpanderTests ,FlexibleStringExpanderTests ,2,27,0,7-10 years,5-7 years,143
P14,TimeDurationTests ,FlexibleStringExpanderTests ,1,30,0,7-10 years,5-7 years,56
P14,FlexibleMapAccessorTest,FlexibleMapAccessorTest,2,22,0,7-10 years,5-7 years,91
